user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
DOME2_0011	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Shouchella;s__Shouchella clausii	GCF_002250115.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Shouchella;s__Shouchella clausii	99.0	0.943	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900142675.1, s__Shouchella rhizosphaerae, 95.29, 95.27, 0.895; GCF_025770735.1, s__Shouchella tritolerans, 95.0, 94.06, 0.835	N/A	N/A	N/A	N/A
DOME2_0012	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.63	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.5, 0.449; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.57, 0.894; GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.1, 0.467; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.0, 0.899	N/A	N/A	N/A	N/A
DOME2_0013	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.55	0.946	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0014	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	GCF_029024965.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	99.23	0.932	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_029531845.1, s__Staphylococcus equorum_C, 95.0, 92.69, 0.833; GCF_001747895.1, s__Staphylococcus equorum_A, 95.0, 94.51, 0.858; GCF_001431205.1, s__Staphylococcus sp001431205, 95.0, 92.74, 0.808	N/A	N/A	N/A	N/A
DOME2_0015	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Shouchella;s__Shouchella clausii	GCF_002250115.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_H;f__Bacillaceae_D;g__Shouchella;s__Shouchella clausii	98.53	0.938	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_900142675.1, s__Shouchella rhizosphaerae, 95.29, 95.5, 0.906; GCF_025770735.1, s__Shouchella tritolerans, 95.0, 93.95, 0.857	N/A	N/A	N/A	N/A
DOME2_0016	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.68	0.962	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.09, 0.445; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.02, 0.869; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.26, 0.441; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.33, 0.885	N/A	N/A	N/A	N/A
DOME2_0017	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.31	0.945	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0018	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.45	0.959	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0019	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus chromogenes	GCF_029024625.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus chromogenes	97.25	0.915	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0020	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus	GCF_029024945.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus	99.5	0.975	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0021	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.5	0.949	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0022	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.53	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0024	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	GCF_001027105.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	99.08	0.955	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000236925.1, s__Staphylococcus argenteus, 95.0, 89.58, 0.758; GCF_002902405.1, s__Staphylococcus schweitzeri, 95.0, 90.94, 0.805; GCF_022493055.1, s__Staphylococcus singaporensis, 95.0, 90.02, 0.787	N/A	N/A	N/A	N/A
DOME2_0025	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.47	0.944	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0026	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus caprae	GCF_002902725.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus caprae	98.78	0.926	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002902325.1, s__Staphylococcus capitis, 95.0, 84.75, 0.493	N/A	N/A	N/A	N/A
DOME2_0027	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.52	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0028	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pasteuri	GCF_003970495.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pasteuri	98.94	0.952	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_003491325.1, s__Staphylococcus warneri_A, 95.0, 84.96, 0.5; GCF_900636385.1, s__Staphylococcus warneri, 95.0, 85.06, 0.511	N/A	N/A	N/A	N/A
DOME2_0029	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.77	0.954	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.17, 0.46; GCF_001969855.1, s__Bacillus haynesii, 95.0, 94.97, 0.882; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.32, 0.445; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.3, 0.89	N/A	N/A	N/A	N/A
DOME2_0030	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.59	0.949	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.01, 0.434; GCF_001969855.1, s__Bacillus haynesii, 95.0, 94.96, 0.86; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.23, 0.428; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.57, 0.865	N/A	N/A	N/A	N/A
DOME2_0031	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943914355	GCF_030227225.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp943914355	98.25	0.96	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_023520795.1, s__Corynebacterium accolens, 95.0, 93.87, 0.891; GCF_030515985.1, s__Corynebacterium sp022346005, 95.0, 93.86, 0.907; GCF_003688935.1, s__Corynebacterium macginleyi, 95.0, 88.93, 0.741; GCF_000478175.1, s__Corynebacterium sp000478175, 95.0, 94.27, 0.903	N/A	N/A	N/A	N/A
DOME2_0032	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.52	0.955	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0033	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	GCF_029024965.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	99.39	0.949	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001431205.1, s__Staphylococcus sp001431205, 95.0, 93.05, 0.823; GCF_029531845.1, s__Staphylococcus equorum_C, 95.0, 93.05, 0.877; GCF_001747895.1, s__Staphylococcus equorum_A, 95.0, 94.65, 0.894	N/A	N/A	N/A	N/A
DOME2_0034	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.66	0.921	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0035	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	GCF_001027105.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	98.17	0.938	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002902405.1, s__Staphylococcus schweitzeri, 95.0, 90.89, 0.809; GCF_022493055.1, s__Staphylococcus singaporensis, 95.0, 89.54, 0.761; GCF_000236925.1, s__Staphylococcus argenteus, 95.0, 89.51, 0.749	N/A	N/A	N/A	N/A
DOME2_0036	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.44	0.943	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0037	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	GCF_001027105.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	98.48	0.954	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002902405.1, s__Staphylococcus schweitzeri, 95.0, 90.94, 0.808; GCF_000236925.1, s__Staphylococcus argenteus, 95.0, 89.6, 0.778; GCF_022493055.1, s__Staphylococcus singaporensis, 95.0, 89.87, 0.788	N/A	N/A	N/A	N/A
DOME2_0038	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.48	0.957	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0039	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum;s__Dolosigranulum pigrum	GCF_000245815.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum;s__Dolosigranulum pigrum	97.48	0.888	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0040	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	GCF_001027105.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	99.9	0.973	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002902405.1, s__Staphylococcus schweitzeri, 95.0, 91.0, 0.804; GCF_000236925.1, s__Staphylococcus argenteus, 95.0, 89.76, 0.758; GCF_022493055.1, s__Staphylococcus singaporensis, 95.0, 90.02, 0.772	N/A	N/A	N/A	N/A
DOME2_0041	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.77	0.949	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 83.99, 0.461; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.02, 0.899; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.4, 0.452; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.32, 0.902	N/A	N/A	N/A	N/A
DOME2_0042	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.46	0.958	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0043	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus	GCF_006094395.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus	97.41	0.924	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_020544305.1, s__Staphylococcus taiwanensis, 95.0, 84.49, 0.423; GCF_001224225.1, s__Staphylococcus borealis, 95.0, 88.95, 0.747	N/A	N/A	N/A	N/A
DOME2_0044	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	GCF_006742205.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	99.53	0.954	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
DOME2_0046	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	GCF_000011645.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus licheniformis	99.66	0.963	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001969815.1, s__Bacillus swezeyi, 95.0, 84.01, 0.444; GCF_001969855.1, s__Bacillus haynesii, 95.0, 95.0, 0.865; GCF_029537375.1, s__Bacillus sonorensis_A, 95.0, 84.25, 0.438; GCF_001042485.2, s__Bacillus paralicheniformis, 95.0, 94.32, 0.876	N/A	N/A	N/A	N/A
